,symbol,companyName,sectorKey,industryKey
0,A,"Agilent Technologies, Inc.",healthcare,diagnostics-research
1,AA,Alcoa Corporation,basic-materials,aluminum
2,AACT,Ares Acquisition Corporation II,financial-services,shell-companies
3,AAM,AA Mission Acquisition Corp.,financial-services,shell-companies
4,AAMI,Acadian Asset Management Inc.,financial-services,asset-management
5,AAP,"Advance Auto Parts, Inc.",consumer-cyclical,auto-parts
6,AAT,"American Assets Trust, Inc.",real-estate,reit-diversified
7,AB,AllianceBernstein Holding L.P.,financial-services,asset-management
8,ABBV,AbbVie Inc.,healthcare,drug-manufacturers-general
9,ABCB,Ameris Bancorp,financial-services,banks-regional
10,ABEV,Ambev S.A.,consumer-defensive,beverages-brewers
11,ABG,"Asbury Automotive Group, Inc.",consumer-cyclical,auto-truck-dealerships
12,ABM,ABM Industries Incorporated,industrials,specialty-business-services
13,ABR,"Arbor Realty Trust, Inc.",real-estate,reit-mortgage
14,ABT,Abbott Laboratories,healthcare,medical-devices
15,AC,"Associated Capital Group, Inc.",financial-services,asset-management
16,ACA,"Arcosa, Inc.",industrials,engineering-construction
17,ACCO,ACCO Brands Corporation,industrials,business-equipment-supplies
18,ACEL,"Accel Entertainment, Inc.",consumer-cyclical,gambling
19,ACHR,Archer Aviation Inc.,industrials,aerospace-defense
20,ACI,"Albertsons Companies, Inc.",consumer-defensive,grocery-stores
21,ACM,AECOM,industrials,engineering-construction
22,ACN,Accenture plc,technology,information-technology-services
23,ACP,Abrdn Income Credit Strategies Fund,financial-services,asset-management
24,ACR,ACRES Commercial Realty Corp.,real-estate,reit-mortgage
25,ACRE,Ares Commercial Real Estate Corporation,real-estate,reit-mortgage
26,ACV,Virtus Diversified Income & Convertible Fund,financial-services,asset-management
27,ACVA,ACV Auctions Inc.,consumer-cyclical,auto-truck-dealerships
28,ADC,Agree Realty Corporation,real-estate,reit-retail
29,ADCT,ADC Therapeutics SA,healthcare,biotechnology
30,ADM,Archer-Daniels-Midland Company,consumer-defensive,farm-products
31,ADNT,Adient plc,consumer-cyclical,auto-parts
32,ADT,ADT Inc.,industrials,security-protection-services
33,ADX,"Adams Diversified Equity Fund, Inc.",financial-services,asset-management
34,AEE,Ameren Corporation,utilities,utilities-regulated-electric
35,AEFC,Aegon Funding Company LLC 5.10%,N/A,N/A
36,AEG,Aegon Ltd.,financial-services,insurance-diversified
37,AEM,Agnico Eagle Mines Limited,basic-materials,gold
38,AEO,"American Eagle Outfitters, Inc.",consumer-cyclical,apparel-retail
39,AER,AerCap Holdings N.V.,industrials,rental-leasing-services
40,AES,The AES Corporation,utilities,utilities-diversified
41,AESI,Atlas Energy Solutions Inc.,energy,oil-gas-equipment-services
42,AFB,"AllianceBernstein National Municipal Income Fund, Inc.",financial-services,asset-management
43,AFG,"American Financial Group, Inc.",financial-services,insurance-property-casualty
44,AFGB,"American Financial Group, Inc. ",N/A,N/A
45,AFGC,"American Financial Group, Inc.",N/A,N/A
46,AFGD,"American Financial Group, Inc.",N/A,N/A
47,AFGE,"American Financial Group, Inc.",N/A,N/A
48,AFL,Aflac Incorporated,financial-services,insurance-life
49,AG,First Majestic Silver Corp.,basic-materials,silver
50,AGCO,AGCO Corporation,industrials,farm-heavy-construction-machinery
51,AGD,Abrdn Global Dynamic Dividend Fund,financial-services,asset-management
52,AGI,Alamos Gold Inc.,basic-materials,gold
53,AGL,"agilon health, inc.",healthcare,medical-care-facilities
54,AGM,Federal Agricultural Mortgage Corporation,financial-services,credit-services
55,AGO,Assured Guaranty Ltd.,financial-services,insurance-specialty
56,AGRO,Adecoagro S.A.,consumer-defensive,farm-products
57,AGS,"PlayAGS, Inc.",consumer-cyclical,gambling
58,AGX,"Argan, Inc.",industrials,engineering-construction
59,AHH,"Armada Hoffler Properties, Inc.",real-estate,reit-diversified
60,AHL,Aspen Insurance Holdings Limite,financial-services,insurance-property-casualty
61,AHR,"American Healthcare REIT, Inc.",real-estate,reit-healthcare-facilities
62,AHT,"Ashford Hospitality Trust, Inc.",real-estate,reit-hotel-motel
63,AI,"C3.ai, Inc.",technology,software-infrastructure
64,AIG,"American International Group, Inc.",financial-services,insurance-diversified
65,AII,"American Integrity Insurance Group, Inc.",N/A,N/A
66,AIN,Albany International Corp.,consumer-cyclical,textile-manufacturing
67,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,financial-services,asset-management
68,AIR,AAR Corp.,industrials,aerospace-defense
69,AIT,"Applied Industrial Technologies, Inc.",industrials,industrial-distribution
70,AIV,Apartment Investment and Management Company,real-estate,reit-residential
71,AIZ,"Assurant, Inc.",financial-services,insurance-property-casualty
72,AIZN,"Assurant, Inc. 5.25% Subordinat",N/A,N/A
73,AJG,Arthur J. Gallagher & Co.,financial-services,insurance-brokers
74,AKA,a.k.a. Brands Holding Corp.,consumer-cyclical,apparel-retail
75,AKR,Acadia Realty Trust,real-estate,reit-retail
76,AL,Air Lease Corporation,industrials,rental-leasing-services
77,ALB,Albemarle Corporation,basic-materials,specialty-chemicals
78,ALC,Alcon Inc.,healthcare,medical-instruments-supplies
79,ALE,"ALLETE, Inc.",utilities,utilities-diversified
80,ALEX,"Alexander & Baldwin, Inc.",real-estate,reit-retail
81,ALG,Alamo Group Inc.,industrials,farm-heavy-construction-machinery
82,ALIT,"Alight, Inc.",technology,software-application
83,ALK,"Alaska Air Group, Inc.",industrials,airlines
84,ALL,The Allstate Corporation,financial-services,insurance-property-casualty
85,ALLE,Allegion plc,industrials,security-protection-services
86,ALLY,Ally Financial Inc.,financial-services,credit-services
87,ALSN,"Allison Transmission Holdings, Inc.",consumer-cyclical,auto-parts
88,ALTG,Alta Equipment Group Inc.,industrials,rental-leasing-services
89,ALUR,Allurion Technologies Inc.,healthcare,medical-devices
90,ALV,"Autoliv, Inc.",consumer-cyclical,auto-parts
91,ALX,"Alexander's, Inc.",real-estate,reit-retail
92,AM,Antero Midstream Corporation,energy,oil-gas-midstream
93,AMBC,"Ambac Financial Group, Inc.",financial-services,insurance-specialty
94,AMBP,Ardagh Metal Packaging S.A.,consumer-cyclical,packaging-containers
95,AMC,"AMC Entertainment Holdings, Inc.",communication-services,entertainment
96,AMCR,Amcor plc,consumer-cyclical,packaging-containers
97,AME,"AMETEK, Inc.",industrials,specialty-industrial-machinery
98,AMG,"Affiliated Managers Group, Inc.",financial-services,asset-management
99,AMH,American Homes 4 Rent,real-estate,reit-residential
100,AMN,"AMN Healthcare Services, Inc.",healthcare,medical-care-facilities
101,AMP,"Ameriprise Financial, Inc.",financial-services,asset-management
102,AMPX,"Amprius Technologies, Inc.",industrials,electrical-equipment-parts
103,AMPY,Amplify Energy Corp.,energy,oil-gas-e-p
104,AMR,"Alpha Metallurgical Resources, Inc.",basic-materials,coking-coal
105,AMRC,"Ameresco, Inc.",industrials,engineering-construction
106,AMT,American Tower Corporation,real-estate,reit-specialty
107,AMTB,Amerant Bancorp Inc.,financial-services,banks-regional
108,AMTD,AMTD IDEA Group,financial-services,asset-management
109,AMTM,"Amentum Holdings, Inc.",industrials,specialty-business-services
110,AMWL,American Well Corporation,healthcare,health-information-services
111,AMX,"América Móvil, S.A.B. de C.V.",communication-services,telecom-services
112,AN,"AutoNation, Inc.",consumer-cyclical,auto-truck-dealerships
113,ANET,Arista Networks Inc,technology,computer-hardware
114,ANF,Abercrombie & Fitch Co.,consumer-cyclical,apparel-retail
115,ANRO,"Alto Neuroscience, Inc.",healthcare,biotechnology
116,ANVS,"Annovis Bio, Inc.",healthcare,biotechnology
117,AOD,Abrdn Total Dynamic Dividend Fund,financial-services,asset-management
118,AOMN,"Angel Oak Mortgage REIT, Inc. 9",N/A,N/A
119,AOMR,"Angel Oak Mortgage REIT, Inc.",real-estate,reit-mortgage
120,AON,Aon plc,financial-services,insurance-brokers
121,AORT,"Artivion, Inc.",healthcare,medical-devices
122,AOS,A. O. Smith Corporation,industrials,specialty-industrial-machinery
